"col0","col1","col2","col3","col4","col5","col6"
"data",0,1,2380,2380,"ggml_graph_compute_secondary_thread","ggml/src/ggml-cpu/ggml-cpu.c"
"data",1,3,1554,1554,"repack","ggml/src/ggml-cpu/repack.cpp"
"parse_special",5,6,1639,1639,"tokenize","src/llama-vocab.cpp"
"special",1,2,1662,1662,"detokenize","src/llama-vocab.cpp"
"dry_penalty_last_n",4,6,13,13,"llama_sampler_init_dry_testing","tests/test-sampling.cpp"
"dry_allowed_length",3,6,13,13,"llama_sampler_init_dry_testing","tests/test-sampling.cpp"
"dry_base",2,6,13,13,"llama_sampler_init_dry_testing","tests/test-sampling.cpp"
"dry_multiplier",1,6,13,13,"llama_sampler_init_dry_testing","tests/test-sampling.cpp"
"ctx",0,1,1012,1012,"build_graph","tests/test-backend-ops.cpp"
"tokens",0,2,1661,1661,"detokenize","src/llama-vocab.cpp"
"tokens",2,6,1636,1636,"tokenize","src/llama-vocab.cpp"
"n",1,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",1,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",1,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",1,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",1,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",1,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n",3,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"vocab",0,3,249,249,"llama_sampler_init_llg","common/llguidance.cpp"
"vocab",0,3,249,249,"llama_sampler_init_llg","common/llguidance.cpp"
"text",0,6,1634,1634,"tokenize","src/llama-vocab.cpp"
"add_special",4,6,1638,1638,"tokenize","src/llama-vocab.cpp"
"a",0,3,130,130,"madd","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"b",0,1,969,969,"load0","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"b",0,1,973,973,"load1","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"b",0,1,981,981,"load0","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"b",0,1,986,986,"load1","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"b",0,1,995,995,"load0","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"b",0,1,1008,1008,"load1","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"b",1,3,130,130,"madd","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"params",0,2,150,150,"unary_op_params","ggml/src/ggml-cpu/unary-ops.cpp"
"target",0,2,205,205,"try_override","src/llama-model-loader.cpp"
"target",0,2,205,205,"try_override","src/llama-model-loader.cpp"
"target",0,2,205,205,"try_override","src/llama-model-loader.cpp"
"target",0,2,205,205,"try_override","src/llama-model-loader.cpp"
"target",0,2,205,205,"try_override","src/llama-model-loader.cpp"
"target",0,2,205,205,"try_override","src/llama-model-loader.cpp"
"target",0,2,205,205,"try_override","src/llama-model-loader.cpp"
"target",0,2,215,215,"try_override","src/llama-model-loader.cpp"
"target",0,2,215,215,"try_override","src/llama-model-loader.cpp"
"target",0,2,215,215,"try_override","src/llama-model-loader.cpp"
"target",0,2,215,215,"try_override","src/llama-model-loader.cpp"
"target",0,2,215,215,"try_override","src/llama-model-loader.cpp"
"target",0,2,215,215,"try_override","src/llama-model-loader.cpp"
"target",0,2,215,215,"try_override","src/llama-model-loader.cpp"
"target",0,2,225,225,"try_override","src/llama-model-loader.cpp"
"target",0,2,225,225,"try_override","src/llama-model-loader.cpp"
"target",0,2,225,225,"try_override","src/llama-model-loader.cpp"
"target",0,2,225,225,"try_override","src/llama-model-loader.cpp"
"target",0,2,225,225,"try_override","src/llama-model-loader.cpp"
"target",0,2,225,225,"try_override","src/llama-model-loader.cpp"
"target",0,2,225,225,"try_override","src/llama-model-loader.cpp"
"target",0,2,235,235,"try_override","src/llama-model-loader.cpp"
"target",0,2,235,235,"try_override","src/llama-model-loader.cpp"
"target",0,2,235,235,"try_override","src/llama-model-loader.cpp"
"target",0,2,235,235,"try_override","src/llama-model-loader.cpp"
"target",0,2,235,235,"try_override","src/llama-model-loader.cpp"
"target",0,2,235,235,"try_override","src/llama-model-loader.cpp"
"target",0,2,235,235,"try_override","src/llama-model-loader.cpp"
"grammar_kind",1,3,249,249,"llama_sampler_init_llg","common/llguidance.cpp"
"grammar_kind",1,3,249,249,"llama_sampler_init_llg","common/llguidance.cpp"
"grammar_data",2,3,249,249,"llama_sampler_init_llg","common/llguidance.cpp"
"grammar_data",2,3,249,249,"llama_sampler_init_llg","common/llguidance.cpp"
"bearer_token",1,3,735,735,"common_download_file_multiple","common/download.cpp"
"m",0,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",0,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",0,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",0,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",0,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",0,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m",1,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"result",0,1,680,680,"print_test_result","tests/test-backend-ops.cpp"
"x",0,1,285,285,"var_to_str","tests/test-backend-ops.cpp"
"x",0,4,181,181,"ggml_quantize_mat_t","ggml/src/ggml-cpu/repack.cpp"
"val",0,1,299,299,"to_string","tools/cvector-generator/cvector-generator.cpp"
"val",0,1,1175,1175,"write","ggml/src/gguf.cpp"
"val",0,1,1176,1176,"write","ggml/src/gguf.cpp"
"t",0,1,1524,1524,"print_test","tools/llama-bench/llama-bench.cpp"
"t",0,3,1554,1554,"repack","ggml/src/ggml-cpu/repack.cpp"
"c",2,3,130,130,"madd","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"info",0,3,1177,1177,"write_tensor_data","ggml/src/gguf.cpp"
"dst",1,2,150,150,"unary_op_params","ggml/src/ggml-cpu/unary-ops.cpp"
"ii",0,2,397,397,"gemm_bloc","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"ii",0,2,397,397,"gemm_bloc","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"ii",0,2,397,397,"gemm_bloc","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"data_size",2,3,1554,1554,"repack","ggml/src/ggml-cpu/repack.cpp"
"n_per_row",3,4,181,181,"ggml_quantize_mat_t","ggml/src/ggml-cpu/repack.cpp"
"alignment",2,3,1177,1177,"write_tensor_data","ggml/src/gguf.cpp"
"vy",1,4,181,181,"ggml_quantize_mat_t","ggml/src/ggml-cpu/repack.cpp"
"jj",1,2,397,397,"gemm_bloc","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"jj",1,2,397,397,"gemm_bloc","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"jj",1,2,397,397,"gemm_bloc","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"m0",0,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,805,805,"gemm4xN","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,859,859,"gemmMx4","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"n0",2,4,916,916,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"SIZE_N",2,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"SIZE_N",2,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"SIZE_N",2,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"BN",2,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"BN",2,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"BN",2,3,431,431,"gemm","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"BN",3,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"BN",3,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"BN",3,4,384,384,"mnpack","ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"nrow",2,4,181,181,"ggml_quantize_mat_t","ggml/src/ggml-cpu/repack.cpp"
"offset_data",1,3,1177,1177,"write_tensor_data","ggml/src/gguf.cpp"
"seq_breakers",5,6,13,13,"llama_sampler_init_dry_testing","tests/test-sampling.cpp"
"text_len",1,6,1635,1635,"tokenize","src/llama-vocab.cpp"
"n_tokens_max",3,6,1637,1637,"tokenize","src/llama-vocab.cpp"
"context_size",0,6,13,13,"llama_sampler_init_dry_testing","tests/test-sampling.cpp"
"ovrd",1,2,205,205,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,205,205,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,205,205,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,205,205,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,205,205,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,205,205,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,205,205,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,215,215,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,215,215,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,215,215,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,215,215,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,215,215,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,215,215,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,215,215,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,225,225,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,225,225,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,225,225,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,225,225,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,225,225,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,225,225,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,225,225,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,235,235,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,235,235,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,235,235,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,235,235,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,235,235,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,235,235,"try_override","src/llama-model-loader.cpp"
"ovrd",1,2,235,235,"try_override","src/llama-model-loader.cpp"
